[20190512_142101 / views.py:14754]
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00

fname_Src_CSV_1	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190508_143318).20190311_090020.csv
fname_Src_CSV_2	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190506_230346).20190307_144106.csv
slice by	through
this file	debug.[Sec_1_A13_Correl].(20190512_142059).dat
pair_1	AUDJPY
timeframe_1	H1
start_1	2017.11.21 10:00
end_1	2019.05.08 08:00
[DEBUG]===========================
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00
[/DEBUG]===========================/

[correls]===========================
numOf_Request_BDs	200
numOf_BDs_For_Correl_Op	20
s.n.	list index	bd_1(last datetime)	bd_2(last datetime)	correl	bd_1.PC	bd_2.PC
137	136	2017.11.29 21:00	2017.11.29 21:00	0.48961862	84.722	132.640
138	137	2017.11.29 22:00	2017.11.29 22:00	0.62980158	84.738	132.579
139	138	2017.11.29 23:00	2017.11.29 23:00	0.79671895	84.739	132.627
140	139	2017.11.30 00:00	2017.11.30 00:00	0.86765330	84.778	132.715
141	140	2017.11.30 01:00	2017.11.30 01:00	0.86252746	84.746	132.752
142	141	2017.11.30 02:00	2017.11.30 02:00	0.86820936	84.767	132.752
143	142	2017.11.30 03:00	2017.11.30 03:00	0.90351359	84.911	132.894
144	143	2017.11.30 04:00	2017.11.30 04:00	0.89438907	84.994	132.867
145	144	2017.11.30 05:00	2017.11.30 05:00	0.89642257	84.943	132.877
146	145	2017.11.30 06:00	2017.11.30 06:00	0.89679455	84.965	132.887
147	146	2017.11.30 07:00	2017.11.30 07:00	0.89490100	85.097	133.024
148	147	2017.11.30 08:00	2017.11.30 08:00	0.90743717	85.113	133.145
149	148	2017.11.30 09:00	2017.11.30 09:00	0.91690087	85.095	133.222
150	149	2017.11.30 10:00	2017.11.30 10:00	0.95489409	85.078	133.165
151	150	2017.11.30 11:00	2017.11.30 11:00	0.95212477	84.921	132.919
152	151	2017.11.30 12:00	2017.11.30 12:00	0.94941828	85.039	132.954
153	152	2017.11.30 13:00	2017.11.30 13:00	0.95225495	84.996	132.960
154	153	2017.11.30 14:00	2017.11.30 14:00	0.94411890	84.996	133.034
155	154	2017.11.30 15:00	2017.11.30 15:00	0.90009366	84.927	133.142
156	155	2017.11.30 16:00	2017.11.30 16:00	0.76401734	84.852	133.268
157	156	2017.11.30 17:00	2017.11.30 17:00	0.66873955	84.969	133.428
158	157	2017.11.30 18:00	2017.11.30 18:00	0.57962780	85.025	133.637
159	158	2017.11.30 19:00	2017.11.30 19:00	0.54817179	85.089	133.796
160	159	2017.11.30 20:00	2017.11.30 20:00	0.57947130	85.147	134.076
161	160	2017.11.30 21:00	2017.11.30 21:00	0.59879135	85.140	133.883
162	161	2017.11.30 22:00	2017.11.30 22:00	0.59902015	85.119	133.928
163	162	2017.11.30 23:00	2017.11.30 23:00	0.61804982	85.139	133.965
164	163	2017.12.01 00:00	2017.12.01 00:00	0.64967672	85.146	133.966
165	164	2017.12.01 01:00	2017.12.01 01:00	0.65015314	85.142	133.956
166	165	2017.12.01 02:00	2017.12.01 02:00	0.60687276	85.045	133.857
167	166	2017.12.01 03:00	2017.12.01 03:00	0.63795634	85.033	133.853
168	167	2017.12.01 04:00	2017.12.01 04:00	0.70535997	85.104	133.982
169	168	2017.12.01 05:00	2017.12.01 05:00	0.74988977	85.099	134.026
170	169	2017.12.01 06:00	2017.12.01 06:00	0.80904674	85.174	134.138
171	170	2017.12.01 07:00	2017.12.01 07:00	0.78653432	85.134	134.235
172	171	2017.12.01 08:00	2017.12.01 08:00	0.84952187	85.229	134.241
173	172	2017.12.01 09:00	2017.12.01 09:00	0.88276484	85.230	134.190
174	173	2017.12.01 10:00	2017.12.01 10:00	0.85742527	85.376	134.119
175	174	2017.12.01 11:00	2017.12.01 11:00	0.76131274	85.298	133.837
176	175	2017.12.01 12:00	2017.12.01 12:00	0.65832275	85.042	133.563
177	176	2017.12.01 13:00	2017.12.01 13:00	0.60612323	85.030	133.707
178	177	2017.12.01 14:00	2017.12.01 14:00	0.54201958	85.114	133.628
179	178	2017.12.01 15:00	2017.12.01 15:00	0.38835236	85.346	133.816
