[20190326_131944 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190326_131939).(USDJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
total bars	50000

[20190326_131944 / views.py:12036]
[20190326_131944 / views.py:11765]==============================
average	0.055
max	0.441
min	-0.030
variance	0.0018785
std	0.04334
median	0.043

[20190326_131944 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
508	2018.10.31 08:25	0.020	42.02
509	2018.11.01 18:50	0.043	47.33
510	2018.11.02 02:55	0.065	52.40
511	2018.11.02 03:00	0.064	52.17
512	2018.11.02 07:55	0.119	64.86
513	2018.11.02 15:30	0.172	77.09
514	2018.11.02 19:05	0.097	59.79
515	2018.11.02 19:10	0.114	63.71
516	2018.11.05 06:40	0.030	44.33
517	2018.11.05 07:10	0.043	47.33
518	2018.11.05 11:25	0.043	47.33
519	2018.11.05 11:30	0.027	43.64
520	2018.11.05 21:20	0.039	46.40
521	2018.11.06 01:35	0.022	42.48
522	2018.11.06 02:10	0.032	44.79
523	2018.11.06 06:15	0.021	42.25
524	2018.11.06 06:35	0.038	46.17
525	2018.11.06 08:00	0.037	45.94
526	2018.11.06 08:05	0.034	45.25
527	2018.11.06 08:10	0.035	45.48
528	2018.11.06 08:25	0.023	42.71
529	2018.11.06 16:25	0.039	46.40
530	2018.11.06 16:30	0.016	41.10
531	2018.11.06 19:40	0.045	47.79
532	2018.11.06 19:45	0.014	40.64
533	2018.11.06 19:50	0.029	44.10
534	2018.11.07 15:30	0.053	49.63
535	2018.11.07 20:00	0.091	58.40
536	2018.11.08 02:10	0.058	50.79
537	2018.11.08 06:10	0.028	43.87
538	2018.11.08 17:30	0.042	47.10
539	2018.11.08 17:35	0.007	39.02
540	2018.11.08 17:40	0.017	41.33
541	2018.11.08 17:45	0.028	43.87
542	2018.11.08 17:50	0.063	51.94
543	2018.11.09 06:40	0.022	42.48
544	2018.11.09 15:00	0.030	44.33
545	2018.11.09 15:05	0.051	49.17
546	2018.11.09 22:00	0.035	45.48
547	2018.11.09 22:05	0.027	43.64
548	2018.11.09 22:10	0.020	42.02
549	2018.11.09 22:15	0.029	44.10
550	2018.11.12 02:25	0.025	43.17
551	2018.11.12 02:30	0.018	41.56
552	2018.11.12 05:30	0.043	47.33
