Pair=EURJPY;Period=M1;Days=25000;Shift=1;Bars=1500000;Time=20181208_073419
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local
11558;128.501;128.508;128.498;128.5;52.07264767579606;38.31423934340994;128.5130367669475;128.499768383474;128.4865000000005;128.473231616527;128.4599632330534;-0.001000000000004775;0.01000000000001933;2018.11.27 22:42;2018.11.28 05:42;77
11559;128.501;128.506;128.501;128.501;52.43753455621503;38.84479310513555;128.5127469163286;128.4995734581645;128.4864000000005;128.4732265418364;128.4600530836724;0.0;0.004999999999995453;2018.11.27 22:41;2018.11.28 05:41;78
11560;128.502;128.505;128.501;128.501;52.43753455621503;40.58672714648945;128.5122951531004;128.4992725765504;128.4862500000004;128.4732274234505;128.4602048469005;-0.001000000000004775;0.003999999999990678;2018.11.27 22:40;2018.11.28 05:40;79
11561;128.488;128.503;128.488;128.501;52.43753455621502;42.00901420212949;128.5116974170244;128.4988737085124;128.4860500000004;128.4732262914885;128.4604025829765;0.01300000000000523;0.01499999999998636;2018.11.27 22:39;2018.11.28 05:39;80
11562;128.492;128.494;128.482;128.489;48.74213719411452;36.80218454821429;128.5101418673511;128.4977709336758;128.4854000000004;128.4730290663251;128.4606581326497;-0.002999999999985903;0.01200000000000045;2018.11.27 22:38;2018.11.28 05:38;81
11563;128.488;128.497;128.486;128.493;49.9716203066971;37.59012951212819;128.5102247855696;128.497837392785;128.4854500000004;128.4730626072158;128.4606752144312;0.004999999999995453;0.0110000000000241;2018.11.27 22:37;2018.11.28 05:37;82
11564;128.469;128.487;128.465;128.487;48.10632636055198;31.3426446882814;128.5107280780767;128.4981890390385;128.4856500000004;128.4731109609623;128.4605719219241;0.01800000000000068;0.02199999999999136;2018.11.27 22:36;2018.11.28 05:36;83
11565;128.465;128.471;128.464;128.468;41.55032729640637;26.60966100967666;128.5130111035299;128.4997805517652;128.4865500000004;128.4733194482356;128.4600888964709;0.002999999999985903;0.007000000000005002;2018.11.27 22:35;2018.11.28 05:35;84
11566;128.47;128.471;128.467;128.468;41.55032729640638;27.20724422458791;128.5142468687903;128.5012734343954;128.4883000000004;128.4753265656055;128.4623531312105;-0.00200000000000955;0.003999999999990678;2018.11.27 22:34;2018.11.28 05:34;85
11567;128.46;128.47;128.459;128.47;42.05506574468529;23.78226062148839;128.5153077025982;128.5027288512993;128.4901500000004;128.4775711487015;128.4649922974026;0.009999999999990905;0.01099999999999568;2018.11.27 22:33;2018.11.28 05:33;86
11568;128.473;128.477;128.452;128.456;36.96280715479748;26.08163332686564;128.5169393122136;128.504544656107;128.4921500000004;128.4797553438939;128.4673606877873;-0.01700000000002433;0.02500000000000568;2018.11.27 22:32;2018.11.28 05:32;87
11569;128.479;128.481;128.473;128.474;41.40750351098141;26.57933192953932;128.5134759081689;128.5040129540847;128.4945500000004;128.4850870459162;128.475624091832;-0.005000000000023874;0.007999999999981355;2018.11.27 22:31;2018.11.28 05:31;88
11570;128.49;128.493;128.478;128.479;42.76450945439486;30.71129062219785;128.5139144527388;128.5051322263696;128.4963500000004;128.4875677736312;128.478785547262;-0.01099999999999568;0.01499999999998636;2018.11.27 22:30;2018.11.28 05:30;89
11571;128.499;128.5;128.489;128.489;45.60413117566988;30.92257545355663;128.5136659295707;128.5056579647855;128.4976500000004;128.4896420352153;128.4816340704301;-0.009999999999990905;0.01099999999999568;2018.11.27 22:29;2018.11.28 05:29;90
11572;128.488;128.499;128.487;128.499;48.67458716633342;30.86921752508431;128.514543436154;128.5065467180772;128.4985500000004;128.4905532819236;128.4825565638468;0.01099999999999568;0.01200000000000045;2018.11.27 22:28;2018.11.28 05:28;91
11573;128.486;128.491;128.484;128.49;45.53952443829255;30.27017509010896;128.5164415677009;128.5078457838507;128.4992500000004;128.4906542161502;128.4820584323;0.004000000000019099;0.007000000000005002;2018.11.27 22:27;2018.11.28 05:27;92
11574;128.507;128.507;128.479;128.485;43.72535585784121;35.11784853004106;128.5182317321995;128.5093408661;128.5004500000004;128.4915591339009;128.4826682678014;-0.02199999999999136;0.02799999999999159;2018.11.27 22:26;2018.11.28 05:26;93
11575;128.489;128.511;128.488;128.506;50.4279054732984;34.46366084772987;128.5176600561801;128.5092050280903;128.5007500000004;128.4922949719106;128.4838399438208;0.01699999999999591;0.02299999999999613;2018.11.27 22:25;2018.11.28 05:25;94
11576;128.487;128.492;128.483;128.488;43.35784239391095;29.38351734697466;128.5171222985907;128.5087361492955;128.5003500000004;128.4919638507053;128.4835777014102;0.001000000000004775;0.00899999999998613;2018.11.27 22:24;2018.11.28 05:24;95
11577;128.497;128.498;128.486;128.486;42.49208797890744;33.30666882295316;128.5188365444141;128.5102932722073;128.5017500000004;128.4932067277936;128.4846634555868;-0.0110000000000241;0.01200000000000045;2018.11.27 22:23;2018.11.28 05:23;96
11578;128.497;128.499;128.491;128.498;46.54740956503812;39.61080947148521;128.5180351541811;128.5102925770908;128.5025500000004;128.4948074229101;128.4870648458198;0.0009999999999763531;0.007999999999981355;2018.11.27 22:22;2018.11.28 05:22;97
11579;128.498;128.509;128.493;128.498;46.54740956503812;38.65997897588773;128.5188166584081;128.5104083292043;128.5020000000005;128.4935916707966;128.4851833415928;0.0;0.01599999999999113;2018.11.27 22:21;2018.11.28 05:21;98
11580;128.489;128.501;128.489;128.497;46.1609710449979;33.63671048591954;128.5188197954942;128.5103848977473;128.5019500000004;128.4935151022536;128.4850802045067;0.008000000000009777;0.01200000000000045;2018.11.27 22:20;2018.11.28 05:20;99
11581;128.49;128.494;128.485;128.488;42.61377296964387;27.43197791941715;128.5188745328788;128.5105122664396;128.5021500000005;128.4937877335613;128.4854254671221;-0.00200000000000955;0.00899999999998613;2018.11.27 22:19;2018.11.28 05:19;100
11582;128.498;128.503;128.487;128.49;43.21485307536683;26.20914703638122;128.5196051849267;128.5115275924636;128.5034500000005;128.4953724075374;128.4872948150743;-0.007999999999981355;0.01599999999999113;2018.11.27 22:18;2018.11.28 05:18;101
11583;128.508;128.508;128.481;128.497;45.3413690275971;26.32825707298248;128.5203601404851;128.5125300702428;128.5047000000005;128.4968699297581;128.4890398595158;-0.01099999999999568;0.02700000000001523;2018.11.27 22:17;2018.11.28 05:17;102
