[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
40	2019.04.15 15:00	337	80.326	80.357	80.365	80.332	80.299	80.266	80.233	2019.04.15 15:45	340	80.404	80.423	80.410	80.363	80.316	80.268	80.221	2019.04.15 16:30	343	80.403	80.371	80.432	80.384	80.336	80.289	80.241
41	2019.04.15 17:00	345	80.343	80.379	80.431	80.388	80.345	80.303	80.260	2019.04.15 17:00	345	80.343	80.379	80.431	80.388	80.345	80.303	80.260	2019.04.15 17:15	346	80.380	80.350	80.429	80.389	80.349	80.309	80.269
42	2019.04.15 17:45	348	80.283	80.385	80.435	80.392	80.349	80.306	80.263	2019.04.15 17:45	348	80.283	80.385	80.435	80.392	80.349	80.306	80.263	2019.04.15 18:00	349	80.383	80.332	80.435	80.392	80.349	80.306	80.263
43	2019.04.15 18:15	350	80.330	80.348	80.434	80.393	80.352	80.311	80.270	2019.04.15 18:45	352	80.384	80.396	80.437	80.399	80.361	80.323	80.285	2019.04.15 19:00	353	80.396	80.367	80.434	80.399	80.365	80.331	80.296
44	2019.04.15 19:15	354	80.367	80.375	80.435	80.401	80.366	80.332	80.298	2019.04.15 19:30	355	80.376	80.389	80.436	80.403	80.370	80.336	80.303	2019.04.15 19:45	356	80.390	80.379	80.435	80.404	80.372	80.341	80.309
45	2019.04.15 20:00	357	80.379	80.397	80.438	80.406	80.374	80.342	80.311	2019.04.15 20:00	357	80.379	80.397	80.438	80.406	80.374	80.342	80.311	2019.04.15 20:15	358	80.398	80.387	80.439	80.407	80.376	80.344	80.312
46	2019.04.15 20:30	359	80.386	80.389	80.437	80.406	80.375	80.343	80.312	2019.04.15 20:30	359	80.386	80.389	80.437	80.406	80.375	80.343	80.312	2019.04.15 20:45	360	80.384	80.367	80.431	80.401	80.372	80.343	80.313
47	2019.04.15 21:00	361	80.366	80.369	80.424	80.397	80.370	80.342	80.315	2019.04.15 21:15	362	80.370	80.382	80.421	80.395	80.369	80.342	80.316	2019.04.15 21:30	363	80.382	80.373	80.422	80.395	80.369	80.342	80.316
48	2019.04.15 23:00	369	80.311	80.337	80.417	80.390	80.363	80.337	80.310	2019.04.15 23:45	372	80.343	80.355	80.410	80.385	80.359	80.333	80.308	2019.04.16 00:15	374	80.345	80.323	80.408	80.382	80.355	80.329	80.302
49	2019.04.16 01:15	378	80.268	80.299	80.401	80.368	80.334	80.301	80.267	2019.04.16 01:15	378	80.268	80.299	80.401	80.368	80.334	80.301	80.267	2019.04.16 01:30	379	80.300	80.280	80.394	80.362	80.329	80.296	80.263
50	2019.04.16 01:45	380	80.280	80.298	80.390	80.358	80.325	80.293	80.261	2019.04.16 03:00	385	80.301	80.366	80.367	80.341	80.315	80.288	80.262	2019.04.16 03:15	386	80.365	80.319	80.367	80.341	80.314	80.288	80.262
51	2019.04.16 05:15	394	79.907	79.984	80.489	80.361	80.234	80.106	79.978	2019.04.16 05:30	395	79.984	80.030	80.490	80.355	80.221	80.086	79.952	2019.04.16 06:00	397	80.028	79.993	80.488	80.341	80.195	80.048	79.901
52	2019.04.16 06:15	398	79.993	80.015	80.480	80.330	80.180	80.031	79.881	2019.04.16 06:15	398	79.993	80.015	80.480	80.330	80.180	80.031	79.881	2019.04.16 06:30	399	80.015	80.003	80.472	80.319	80.167	80.014	79.861
53	2019.04.16 06:45	400	79.996	80.017	80.458	80.305	80.152	80.000	79.847	2019.04.16 06:45	400	79.996	80.017	80.458	80.305	80.152	80.000	79.847	2019.04.16 07:00	401	80.018	80.001	80.441	80.289	80.137	79.985	79.833
54	2019.04.16 07:15	402	80.000	80.028	80.420	80.272	80.123	79.975	79.826	2019.04.16 07:30	403	80.028	80.042	80.397	80.254	80.110	79.967	79.823	2019.04.16 08:00	405	80.033	79.998	80.326	80.202	80.078	79.954	79.830
55	2019.04.16 08:15	406	79.997	80.059	80.287	80.176	80.065	79.954	79.843	2019.04.16 08:15	406	79.997	80.059	80.287	80.176	80.065	79.954	79.843	2019.04.16 08:45	408	80.045	79.989	80.192	80.115	80.037	79.959	79.881
56	2019.04.16 09:00	409	79.988	80.019	80.139	80.082	80.024	79.967	79.909	2019.04.16 09:00	409	79.988	80.019	80.139	80.082	80.024	79.967	79.909	2019.04.16 09:15	410	80.018	79.993	80.081	80.047	80.013	79.979	79.944
57	2019.04.16 09:30	411	79.995	80.009	80.072	80.041	80.009	79.978	79.947	2019.04.16 09:30	411	79.995	80.009	80.072	80.041	80.009	79.978	79.947	2019.04.16 09:45	412	80.009	79.965	80.073	80.041	80.008	79.975	79.943
58	2019.04.16 10:15	414	79.950	79.975	80.064	80.037	80.010	79.983	79.956	2019.04.16 11:00	417	79.979	80.007	80.060	80.033	80.006	79.979	79.952	2019.04.16 11:15	418	80.009	79.967	80.060	80.032	80.004	79.975	79.947
59	2019.04.16 11:30	419	79.962	79.999	80.060	80.032	80.003	79.975	79.947	2019.04.16 11:45	420	80.000	80.028	80.061	80.033	80.004	79.975	79.947	2019.04.16 12:00	421	80.028	79.941	80.064	80.033	80.001	79.969	79.937
60	2019.04.16 12:15	422	79.936	79.953	80.063	80.030	79.997	79.964	79.932	2019.04.16 12:15	422	79.936	79.953	80.063	80.030	79.997	79.964	79.932	2019.04.16 12:30	423	79.956	79.928	80.060	80.026	79.991	79.957	79.923
61	2019.04.16 12:45	424	79.927	79.932	80.057	80.021	79.986	79.951	79.916	2019.04.16 13:00	425	79.931	79.963	80.055	80.020	79.985	79.949	79.914	2019.04.16 13:15	426	79.962	79.913	80.046	80.012	79.977	79.943	79.909
62	2019.04.16 13:45	428	79.903	79.938	80.036	80.002	79.968	79.933	79.899	2019.04.16 23:45	468	80.366	80.372	80.367	80.347	80.328	80.308	80.288	2019.04.17 01:45	476	80.333	80.182	80.404	80.367	80.330	80.293	80.256
63	2019.04.17 02:00	477	80.184	80.237	80.410	80.368	80.325	80.283	80.241	2019.04.17 02:15	478	80.236	80.240	80.412	80.366	80.321	80.275	80.229	2019.04.17 02:30	479	80.239	80.222	80.415	80.365	80.315	80.264	80.214
64	2019.04.17 03:00	481	80.213	80.335	80.418	80.363	80.309	80.254	80.199	2019.04.17 03:00	481	80.213	80.335	80.418	80.363	80.309	80.254	80.199	2019.04.17 03:45	484	80.312	80.288	80.414	80.360	80.305	80.251	80.197
65	2019.04.17 04:30	487	80.108	80.182	80.420	80.349	80.278	80.208	80.137	2019.04.17 05:00	489	80.399	80.570	80.478	80.384	80.290	80.196	80.101	2019.04.17 06:15	494	80.472	80.419	80.597	80.463	80.329	80.195	80.062
66	2019.04.17 06:30	495	80.420	80.431	80.606	80.470	80.334	80.199	80.063	2019.04.17 07:15	498	80.488	80.516	80.644	80.509	80.374	80.239	80.104	2019.04.17 07:30	499	80.514	80.486	80.652	80.520	80.387	80.255	80.122
67	2019.04.17 08:00	501	80.479	80.525	80.669	80.539	80.410	80.281	80.151	2019.04.17 08:45	504	80.589	80.615	80.723	80.588	80.453	80.319	80.184	2019.04.17 09:15	506	80.606	80.553	80.688	80.591	80.495	80.398	80.302
68	2019.04.17 10:00	509	80.509	80.555	80.626	80.573	80.519	80.466	80.412	2019.04.17 11:15	514	80.656	80.680	80.682	80.617	80.552	80.487	80.422	2019.04.17 11:30	515	80.677	80.596	80.679	80.620	80.560	80.501	80.441
69	2019.04.17 11:45	516	80.593	80.619	80.679	80.624	80.569	80.513	80.458	2019.04.17 12:00	517	80.620	80.621	80.681	80.628	80.575	80.522	80.469	2019.04.17 12:15	518	80.621	80.603	80.683	80.631	80.580	80.528	80.477
70	2019.04.17 12:45	520	80.595	80.614	80.673	80.632	80.592	80.551	80.511	2019.04.17 12:45	520	80.595	80.614	80.673	80.632	80.592	80.551	80.511	2019.04.17 13:00	521	80.615	80.604	80.671	80.633	80.596	80.558	80.521
71	2019.04.17 13:15	522	80.605	80.608	80.672	80.635	80.597	80.560	80.523	2019.04.17 13:15	522	80.605	80.608	80.672	80.635	80.597	80.560	80.523	2019.04.17 13:30	523	80.607	80.580	80.672	80.634	80.597	80.560	80.522
72	2019.04.17 13:45	524	80.581	80.586	80.670	80.633	80.596	80.558	80.521	2019.04.17 14:00	525	80.584	80.592	80.669	80.632	80.595	80.558	80.521	2019.04.17 14:15	526	80.591	80.548	80.670	80.632	80.595	80.557	80.520
73	2019.04.17 15:00	529	80.509	80.516	80.674	80.633	80.593	80.553	80.513	2019.04.17 16:15	534	80.551	80.601	80.646	80.611	80.576	80.541	80.506	2019.04.17 16:30	535	80.600	80.480	80.651	80.610	80.570	80.530	80.490
