[20190427_174404 / views.py:15864]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190427_174404).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114

[20190427_174404 / views.py:15939]
[lo_UUU : 2595]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
205	2018.07.09 20:15	2018.07.09 20:30	2018.07.09 20:45	0.003	0.030	0.024
206	2018.07.09 20:30	2018.07.09 20:45	2018.07.09 21:00	0.030	0.024	0.019
207	2018.07.09 20:45	2018.07.09 21:00	2018.07.09 21:15	0.024	0.019	0.020
208	2018.07.09 21:00	2018.07.09 21:15	2018.07.09 21:30	0.019	0.020	0.046
209	2018.07.10 00:30	2018.07.10 00:45	2018.07.10 01:00	0.003	0.016	0.027
210	2018.07.10 00:45	2018.07.10 01:00	2018.07.10 01:15	0.016	0.027	0.004
211	2018.07.10 01:00	2018.07.10 01:15	2018.07.10 01:30	0.027	0.004	0.012
212	2018.07.10 01:15	2018.07.10 01:30	2018.07.10 01:45	0.004	0.012	0.018
213	2018.07.10 01:30	2018.07.10 01:45	2018.07.10 02:00	0.012	0.018	0.024
214	2018.07.10 01:45	2018.07.10 02:00	2018.07.10 02:15	0.018	0.024	0.068
215	2018.07.10 02:00	2018.07.10 02:15	2018.07.10 02:30	0.024	0.068	0.031
216	2018.07.10 05:00	2018.07.10 05:15	2018.07.10 05:30	0.053	0.002	0.013
217	2018.07.10 05:15	2018.07.10 05:30	2018.07.10 05:45	0.002	0.013	0.042
218	2018.07.10 05:30	2018.07.10 05:45	2018.07.10 06:00	0.013	0.042	0.029
219	2018.07.10 05:45	2018.07.10 06:00	2018.07.10 06:15	0.042	0.029	0.031
220	2018.07.10 09:15	2018.07.10 09:30	2018.07.10 09:45	0.025	0.013	0.002
221	2018.07.10 13:00	2018.07.10 13:15	2018.07.10 13:30	0.016	0.023	0.006
222	2018.07.10 15:30	2018.07.10 15:45	2018.07.10 16:00	0.094	0.025	0.011
223	2018.07.10 15:45	2018.07.10 16:00	2018.07.10 16:15	0.025	0.011	0.035
224	2018.07.10 16:45	2018.07.10 17:00	2018.07.10 17:15	0.049	0.018	0.029
225	2018.07.10 17:00	2018.07.10 17:15	2018.07.10 17:30	0.018	0.029	0.014
226	2018.07.10 17:15	2018.07.10 17:30	2018.07.10 17:45	0.029	0.014	0.049
227	2018.07.10 20:45	2018.07.10 21:00	2018.07.10 21:15	0.007	0.009	0.027
228	2018.07.10 21:00	2018.07.10 21:15	2018.07.10 21:30	0.009	0.027	0.020
229	2018.07.10 21:15	2018.07.10 21:30	2018.07.10 21:45	0.027	0.020	0.037
230	2018.07.10 22:15	2018.07.10 22:30	2018.07.10 22:45	0.007	0.029	0.016
231	2018.07.10 22:30	2018.07.10 22:45	2018.07.10 23:00	0.029	0.016	0.016
232	2018.07.11 04:15	2018.07.11 04:30	2018.07.11 04:45	0.080	0.108	0.109
233	2018.07.11 06:30	2018.07.11 06:45	2018.07.11 07:00	0.028	0.032	0.013
234	2018.07.11 07:45	2018.07.11 08:00	2018.07.11 08:15	0.055	0.030	0.012
235	2018.07.11 08:00	2018.07.11 08:15	2018.07.11 08:30	0.030	0.012	0.023
236	2018.07.11 10:00	2018.07.11 10:15	2018.07.11 10:30	0.006	0.078	0.047
237	2018.07.11 13:15	2018.07.11 13:30	2018.07.11 13:45	0.077	0.003	0.047
238	2018.07.11 13:30	2018.07.11 13:45	2018.07.11 14:00	0.003	0.047	0.019
239	2018.07.11 15:00	2018.07.11 15:15	2018.07.11 15:30	0.057	0.001	0.101
240	2018.07.11 18:45	2018.07.11 19:00	2018.07.11 19:15	0.040	0.004	0.081
241	2018.07.11 19:00	2018.07.11 19:15	2018.07.11 19:30	0.004	0.081	0.029
242	2018.07.11 19:15	2018.07.11 19:30	2018.07.11 19:45	0.081	0.029	0.057
243	2018.07.12 02:30	2018.07.12 02:45	2018.07.12 03:00	0.029	0.020	0.068
244	2018.07.12 02:45	2018.07.12 03:00	2018.07.12 03:15	0.020	0.068	0.018
245	2018.07.12 03:00	2018.07.12 03:15	2018.07.12 03:30	0.068	0.018	0.037
246	2018.07.12 05:00	2018.07.12 05:15	2018.07.12 05:30	0.008	0.063	0.001
247	2018.07.12 09:45	2018.07.12 10:00	2018.07.12 10:15	0.070	0.022	0.026
248	2018.07.12 10:00	2018.07.12 10:15	2018.07.12 10:30	0.022	0.026	0.016
249	2018.07.12 14:30	2018.07.12 14:45	2018.07.12 15:00	0.028	0.044	0.010
250	2018.07.12 16:45	2018.07.12 17:00	2018.07.12 17:15	0.104	0.023	0.039
251	2018.07.12 18:00	2018.07.12 18:15	2018.07.12 18:30	0.081	0.004	0.050
252	2018.07.12 18:15	2018.07.12 18:30	2018.07.12 18:45	0.004	0.050	0.039
253	2018.07.12 22:00	2018.07.12 22:15	2018.07.12 22:30	0.011	0.021	0.001
254	2018.07.12 22:15	2018.07.12 22:30	2018.07.12 22:45	0.021	0.001	0.029
255	2018.07.13 01:30	2018.07.13 01:45	2018.07.13 02:00	0.015	0.024	0.017
256	2018.07.13 01:45	2018.07.13 02:00	2018.07.13 02:15	0.024	0.017	0.034
257	2018.07.13 02:00	2018.07.13 02:15	2018.07.13 02:30	0.017	0.034	0.053
258	2018.07.13 06:15	2018.07.13 06:30	2018.07.13 06:45	0.000	0.017	0.005
259	2018.07.13 06:30	2018.07.13 06:45	2018.07.13 07:00	0.017	0.005	0.006
260	2018.07.13 06:45	2018.07.13 07:00	2018.07.13 07:15	0.005	0.006	0.008
261	2018.07.13 15:30	2018.07.13 15:45	2018.07.13 16:00	0.030	0.031	0.012
262	2018.07.13 15:45	2018.07.13 16:00	2018.07.13 16:15	0.031	0.012	0.000
263	2018.07.13 17:00	2018.07.13 17:15	2018.07.13 17:30	0.048	0.005	0.053
264	2018.07.13 17:15	2018.07.13 17:30	2018.07.13 17:45	0.005	0.053	0.068
265	2018.07.13 17:30	2018.07.13 17:45	2018.07.13 18:00	0.053	0.068	0.019
266	2018.07.13 17:45	2018.07.13 18:00	2018.07.13 18:15	0.068	0.019	0.061
267	2018.07.13 22:15	2018.07.13 22:30	2018.07.13 22:45	0.014	0.010	0.038
268	2018.07.13 22:30	2018.07.13 22:45	2018.07.13 23:00	0.010	0.038	0.013
269	2018.07.13 22:45	2018.07.13 23:00	2018.07.13 23:15	0.038	0.013	0.013
270	2018.07.13 23:00	2018.07.13 23:15	2018.07.13 23:30	0.013	0.013	0.012
271	2018.07.13 23:15	2018.07.13 23:30	2018.07.13 23:45	0.013	0.012	0.040
272	2018.07.13 23:30	2018.07.13 23:45	2018.07.16 00:00	0.012	0.040	0.059
273	2018.07.16 00:45	2018.07.16 01:00	2018.07.16 01:15	0.006	0.060	0.017
274	2018.07.16 01:00	2018.07.16 01:15	2018.07.16 01:30	0.060	0.017	0.037
