[20190311_150234 / views.py:11499]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190311_081323).20190311_081029.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190311_150231).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.03.11 02:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_150234 / views.py:11591]
117	2018.09.25 00:00	2018.09.25 23:45	96	21	25	26	21	0.219	0.260	0.271	0.219
118	2018.09.24 00:00	2018.09.24 23:45	96	23	25	23	18	0.240	0.260	0.240	0.188
119	2018.09.21 00:00	2018.09.21 23:45	96	31	23	23	18	0.323	0.240	0.240	0.188
120	2018.09.20 00:00	2018.09.20 23:45	96	24	26	26	19	0.250	0.271	0.271	0.198
121	2018.09.19 00:00	2018.09.19 23:45	96	26	26	25	16	0.271	0.271	0.260	0.167
122	2018.09.18 00:00	2018.09.18 23:45	96	28	29	27	9	0.292	0.302	0.281	0.094
123	2018.09.17 00:00	2018.09.17 23:45	96	34	20	20	21	0.354	0.208	0.208	0.219
124	2018.09.14 00:00	2018.09.14 23:45	96	23	24	24	24	0.240	0.250	0.250	0.250
125	2018.09.13 00:00	2018.09.13 23:45	96	20	24	26	21	0.208	0.250	0.271	0.219
126	2018.09.12 00:00	2018.09.12 23:45	96	22	25	23	20	0.229	0.260	0.240	0.208
127	2018.09.11 00:00	2018.09.11 23:45	96	25	24	24	18	0.260	0.250	0.250	0.188
128	2018.09.10 00:00	2018.09.10 23:45	96	21	27	26	21	0.219	0.281	0.271	0.219
129	2018.09.07 00:00	2018.09.07 23:45	96	21	24	24	26	0.219	0.250	0.250	0.271
130	2018.09.06 00:00	2018.09.06 23:45	96	16	27	26	24	0.167	0.281	0.271	0.250
131	2018.09.05 00:00	2018.09.05 23:45	96	25	26	26	16	0.260	0.271	0.271	0.167
132	2018.09.04 00:00	2018.09.04 23:45	96	18	24	24	29	0.188	0.250	0.250	0.302
133	2018.09.03 00:00	2018.09.03 23:45	96	24	27	27	17	0.250	0.281	0.281	0.177
