[20190228_134909 / views.py:10271]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_134908.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_134909 / views.py:10280]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_1S
180	2019.02.01 01:15	2019.02.01 01:30	124.595	124.604	124.630
181	2019.02.01 01:30	2019.02.01 01:45	124.604	124.609	124.631
182	2019.02.01 01:45	2019.02.01 02:00	124.609	124.711	124.633
183	2019.02.01 03:45	2019.02.01 04:00	124.508	124.533	124.670
184	2019.02.01 04:00	2019.02.01 04:15	124.533	124.580	124.663
185	2019.02.01 04:15	2019.02.01 04:30	124.580	124.579	124.656
186	2019.02.01 04:30	2019.02.01 04:45	124.579	124.627	124.653
187	2019.02.01 04:45	2019.02.01 05:00	124.627	124.634	124.655
188	2019.02.01 05:00	2019.02.01 05:15	124.634	124.666	124.658
189	2019.02.01 08:15	2019.02.01 08:30	124.553	124.554	124.611
190	2019.02.01 08:30	2019.02.01 08:45	124.554	124.575	124.610
191	2019.02.01 08:45	2019.02.01 09:00	124.575	124.644	124.611
192	2019.02.01 09:00	2019.02.01 09:15	124.644	124.657	124.619
193	2019.02.01 09:15	2019.02.01 09:30	124.657	124.690	124.626
194	2019.02.01 09:30	2019.02.01 09:45	124.690	124.703	124.637
195	2019.02.01 09:45	2019.02.01 10:00	124.703	124.746	124.647
196	2019.02.01 11:45	2019.02.01 12:00	124.886	124.945	124.769
197	2019.02.01 13:00	2019.02.01 13:15	124.867	124.914	124.866
198	2019.02.01 14:15	2019.02.01 14:30	124.910	124.916	124.908
199	2019.02.01 15:00	2019.02.01 15:15	124.912	124.961	124.926
200	2019.02.01 15:15	2019.02.01 15:30	124.961	125.009	124.935
201	2019.02.01 15:30	2019.02.01 15:45	125.009	125.041	124.950
202	2019.02.01 15:45	2019.02.01 16:00	125.041	125.101	124.964
203	2019.02.01 16:30	2019.02.01 16:45	125.115	125.218	125.023
204	2019.02.01 16:45	2019.02.01 17:00	125.218	125.319	125.059
205	2019.02.01 17:00	2019.02.01 17:15	125.319	125.396	125.104
206	2019.02.01 17:45	2019.02.01 18:00	125.420	125.543	125.240
207	2019.02.01 18:00	2019.02.01 18:15	125.543	125.693	125.296
208	2019.01.31 00:00	2019.01.31 00:15	125.167	125.209	125.183
209	2019.01.31 02:45	2019.01.31 03:00	125.146	125.180	125.188
210	2019.01.31 04:30	2019.01.31 04:45	125.156	125.230	125.188
211	2019.01.31 05:15	2019.01.31 05:30	125.206	125.269	125.195
212	2019.01.31 08:15	2019.01.31 08:30	125.077	125.087	125.216
213	2019.01.31 08:30	2019.01.31 08:45	125.087	125.114	125.215
214	2019.01.31 10:00	2019.01.31 10:15	125.011	125.022	125.205
215	2019.01.31 12:45	2019.01.31 13:00	124.634	124.657	125.112
216	2019.01.31 13:00	2019.01.31 13:15	124.657	124.748	125.098
217	2019.01.31 13:15	2019.01.31 13:30	124.748	124.777	125.080
218	2019.01.31 13:30	2019.01.31 13:45	124.777	124.796	125.061
219	2019.01.31 14:15	2019.01.31 14:30	124.790	124.841	124.981
