[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
101	10708	774	2019.01.23 12:56	775	2019.01.23 12:57	124.545	124.510	-0.035	1
102	10696	786	2019.01.23 13:08	787	2019.01.23 13:09	124.588	124.562	-0.026	1
103	10692	790	2019.01.23 13:12	791	2019.01.23 13:13	124.582	124.538	-0.044	1
104	10681	801	2019.01.23 13:31	802	2019.01.23 13:32	124.626	124.576	-0.050	1
105	10659	819	2019.01.23 13:49	824	2019.01.23 13:54	124.632	124.600	-0.032	5
106	10655	827	2019.01.23 13:57	828	2019.01.23 13:58	124.628	124.604	-0.024	1
107	10651	829	2019.01.23 13:59	832	2019.01.23 14:02	124.619	124.588	-0.031	3
108	10623	856	2019.01.23 14:26	860	2019.01.23 14:30	124.665	124.636	-0.029	4
109	10620	862	2019.01.23 14:32	863	2019.01.23 14:33	124.653	124.624	-0.029	1
110	10596	867	2019.01.23 14:37	887	2019.01.23 14:57	124.638	124.609	-0.029	20
111	10593	889	2019.01.23 14:59	890	2019.01.23 15:00	124.641	124.617	-0.024	1
112	10563	911	2019.01.23 15:21	920	2019.01.23 15:30	124.722	124.695	-0.027	9
113	10560	922	2019.01.23 15:32	923	2019.01.23 15:33	124.715	124.662	-0.053	1
114	10555	926	2019.01.23 15:36	928	2019.01.23 15:38	124.672	124.633	-0.039	2
115	10553	929	2019.01.23 15:39	930	2019.01.23 15:40	124.672	124.619	-0.053	1
116	10551	931	2019.01.23 15:41	932	2019.01.23 15:42	124.650	124.626	-0.024	1
117	10542	940	2019.01.23 15:50	941	2019.01.23 15:51	124.703	124.660	-0.043	1
118	10535	947	2019.01.23 15:57	948	2019.01.23 15:58	124.768	124.724	-0.044	1
119	10530	952	2019.01.23 16:02	953	2019.01.23 16:03	124.722	124.702	-0.020	1
120	10523	959	2019.01.23 16:09	960	2019.01.23 16:10	124.837	124.791	-0.046	1
121	10521	961	2019.01.23 16:11	962	2019.01.23 16:12	124.867	124.842	-0.025	1
122	10518	963	2019.01.23 16:13	965	2019.01.23 16:15	124.858	124.830	-0.028	2
123	10515	967	2019.01.23 16:17	968	2019.01.23 16:18	124.864	124.823	-0.041	1
124	10509	971	2019.01.23 16:21	974	2019.01.23 16:24	124.841	124.815	-0.026	3
125	10507	975	2019.01.23 16:25	976	2019.01.23 16:26	124.865	124.829	-0.036	1
126	10504	978	2019.01.23 16:28	979	2019.01.23 16:29	124.865	124.827	-0.038	1
127	10501	981	2019.01.23 16:31	982	2019.01.23 16:32	124.852	124.809	-0.043	1
128	10496	986	2019.01.23 16:36	987	2019.01.23 16:37	124.889	124.846	-0.043	1
129	10492	989	2019.01.23 16:39	991	2019.01.23 16:41	124.867	124.842	-0.025	2
130	10474	1004	2019.01.23 16:54	1009	2019.01.23 16:59	124.876	124.847	-0.029	5
131	10468	1012	2019.01.23 17:02	1015	2019.01.23 17:05	124.885	124.854	-0.031	3
132	10466	1016	2019.01.23 17:06	1017	2019.01.23 17:07	124.889	124.842	-0.047	1
133	10461	1018	2019.01.23 17:08	1022	2019.01.23 17:12	124.874	124.851	-0.023	4
134	10456	1026	2019.01.23 17:16	1027	2019.01.23 17:17	124.831	124.801	-0.030	1
135	10451	1031	2019.01.23 17:21	1032	2019.01.23 17:22	124.777	124.750	-0.027	1
136	10443	1039	2019.01.23 17:29	1040	2019.01.23 17:30	124.786	124.758	-0.028	1
137	10441	1041	2019.01.23 17:31	1042	2019.01.23 17:32	124.784	124.762	-0.022	1
