Pair=USDJPY;Period=M15;Days=9000;Shift=1;Bars=9000;Time=20181208_065354
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;dateTime_Local;s.n.
2450;112.967;112.967;112.888;112.927;54.77373749554592;59.24583625726894;113.1802138730919;113.045281936546;112.9103500000002;112.7754180634545;112.6404861269086;-0.03999999999999204;0.07899999999999352;2018.11.02 11:00;2018.11.02 18:00;52
2451;113.011;113.025;112.947;112.966;57.96384459552246;62.45290061394987;113.181735257163;113.0409926285816;112.9002500000002;112.7595073714188;112.6187647428374;-0.04500000000000171;0.07800000000000296;2018.11.02 10:45;2018.11.02 17:45;53
2452;112.979;113.032;112.959;113.012;62.01068668356883;64.47012650547592;113.1766305423278;113.032990271164;112.8893500000002;112.7457097288365;112.6020694576727;0.03300000000000125;0.07299999999999329;2018.11.02 10:30;2018.11.02 17:30;54
2453;112.998;113.032;112.974;112.979;60.11279054624922;63.20592685729279;113.1634211336012;113.0201605668007;112.8769000000002;112.7336394331997;112.5903788663992;-0.01900000000000546;0.05799999999999272;2018.11.02 10:15;2018.11.02 17:15;55
2454;113.053;113.102;112.98;113.0;61.98487611804141;68.38475656649024;113.1526138837013;113.0094569418508;112.8663000000002;112.7231430581497;112.5799861162991;-0.05299999999999727;0.1219999999999999;2018.11.02 10:00;2018.11.02 17:00;56
2455;112.991;113.058;112.965;113.052;66.88485552071624;67.1424543711232;113.1374035991305;112.9957017995654;112.8540000000002;112.7122982004351;112.5705964008699;0.06100000000000705;0.09300000000000352;2018.11.02 09:45;2018.11.02 16:45;57
2456;113.026;113.052;112.984;112.992;63.7431133794816;62.86584388299788;113.1107378023686;112.9744439011844;112.8381500000002;112.7018560988161;112.5655621976319;-0.03399999999999181;0.06800000000001205;2018.11.02 09:30;2018.11.02 16:30;58
2457;112.981;113.032;112.958;113.024;66.96191399104634;58.03656491273176;113.0916100799218;112.958980039961;112.8263500000002;112.6937199600394;112.5610899200786;0.04300000000000637;0.07399999999999807;2018.11.02 09:15;2018.11.02 16:15;59
2458;112.979;112.986;112.914;112.981;64.68547365822116;58.12806672475367;113.064448857255;112.9397494286276;112.8150500000002;112.6903505713728;112.5656511427454;0.001999999999995339;0.07200000000000273;2018.11.02 09:00;2018.11.02 16:00;60
2459;113.006;113.021;112.963;112.978;64.52345721735696;58.87300107605547;113.0424974532527;112.9234737266265;112.8044500000002;112.685426273374;112.5664025467477;-0.0280000000000058;0.05800000000000693;2018.11.02 08:45;2018.11.02 15:45;61
