Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
297;126.042;126.092;125.882;126.068;45.9604783202;40.9453236791;126.4764485969;126.3227742984;126.1691;126.0154257016;125.8617514031;0.026;0.21;2018.08.15 08:00;2018.08.15 15:00;64
298;125.981;126.053;125.862;126.044;45.4068253461;35.3504506276;126.5284059311;126.3598029656;126.1912;126.0225970344;125.8539940689;0.063;0.191;2018.08.15 07:00;2018.08.15 14:00;65
299;126.092;126.101;125.91;125.981;43.9754368154;34.0700184022;126.554137182;126.382068591;126.21;126.037931409;125.8658628181;-0.111;0.191;2018.08.15 06:00;2018.08.15 13:00;66
300;126.31;126.311;126.017;126.093;46.0129495674;40.2454200894;126.7006479176;126.4785489588;126.25645;126.0343510412;125.8122520824;-0.217;0.294;2018.08.15 05:00;2018.08.15 12:00;67
301;126.254;126.369;126.202;126.312;50.346121162;46.4155475911;126.8058476672;126.5505238336;126.2952;126.0398761664;125.7845523328;0.058;0.167;2018.08.15 04:00;2018.08.15 11:00;68
302;126.239;126.297;126.212;126.252;49.0984870344;46.6496724901;126.8184945715;126.5605972858;126.3027;126.0448027142;125.7869054285;0.013;0.085;2018.08.15 03:00;2018.08.15 10:00;69
303;126.181;126.241;126.162;126.235;48.7518832882;43.4760566772;126.8237109815;126.5658304907;126.30795;126.0500695093;125.7921890185;0.054;0.079;2018.08.15 02:00;2018.08.15 09:00;70
304;126.174;126.228;126.143;126.182;47.6970612225;44.2926924061;126.83822697;126.578788485;126.31935;126.059911515;125.80047303;0.008;0.085;2018.08.15 01:00;2018.08.15 08:00;71
305;126.025;126.179;126.025;126.177;47.6004011764;44.1048172445;126.8478087882;126.5895043941;126.3312;126.0728956059;125.8145912118;0.152;0.154;2018.08.15 00:00;2018.08.15 07:00;72
306;126.176;126.176;126.057;126.083;45.8118273688;43.671436174;126.8526436901;126.5966968451;126.34075;126.0848031549;125.8288563099;-0.093;0.119;2018.08.14 23:00;2018.08.15 06:00;73
307;126.105;126.19;126.097;126.174;47.2965506454;47.4267156399;126.8511373041;126.6020436521;126.35295;126.1038563479;125.8547626959;0.069;0.093;2018.08.14 22:00;2018.08.15 05:00;74
308;126.216;126.221;125.989;126.106;46.0554511685;44.9867788541;126.8527706505;126.6015603252;126.35035;126.0991396748;125.8479293495;-0.11;0.232;2018.08.14 21:00;2018.08.15 04:00;75
309;125.993;126.244;125.993;126.218;47.8173702371;48.0433745411;126.8500586284;126.6044293142;126.3588;126.1131706858;125.8675413716;0.225;0.251;2018.08.14 20:00;2018.08.15 03:00;76
310;125.914;126.004;125.814;125.993;43.7073423547;46.6476682477;126.8506990059;126.606749503;126.3628;126.118850497;125.8749009941;0.079;0.19;2018.08.14 19:00;2018.08.15 02:00;77
311;126.101;126.108;125.805;125.914;42.1885412194;50.0677869499;126.8375250484;126.6084625242;126.3794;126.1503374758;125.9212749516;-0.187;0.303;2018.08.14 18:00;2018.08.15 01:00;78
312;126.122;126.328;126.018;126.102;44.9290470534;51.2046115568;126.8162548458;126.6021524229;126.38805;126.1739475771;125.9598451542;-0.02;0.31;2018.08.14 17:00;2018.08.15 00:00;79
313;126.307;126.328;126.082;126.119;45.181167664;56.8077467126;126.8161714426;126.6021357213;126.3881;126.1740642787;125.9600285574;-0.188;0.246;2018.08.14 16:00;2018.08.14 23:00;80
314;126.459;126.46;126.244;126.31;48.0596939165;62.8916367053;126.8132383407;126.6017691703;126.3903;126.1788308297;125.9673616593;-0.149;0.216;2018.08.14 15:00;2018.08.14 22:00;81
