[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
120	2018.09.18 00:00	2018.09.18 23:00	24	13	4	4	2	0.542	0.167	0.167	0.083
121	2018.09.17 00:00	2018.09.17 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
122	2018.09.14 00:00	2018.09.14 23:00	24	4	6	5	8	0.167	0.250	0.208	0.333
123	2018.09.13 00:00	2018.09.13 23:00	24	7	7	6	3	0.292	0.292	0.250	0.125
124	2018.09.12 00:00	2018.09.12 23:00	24	4	5	5	9	0.167	0.208	0.208	0.375
125	2018.09.11 00:00	2018.09.11 23:00	24	6	6	7	4	0.250	0.250	0.292	0.167
126	2018.09.10 00:00	2018.09.10 23:00	24	3	7	7	4	0.125	0.292	0.292	0.167
127	2018.09.07 00:00	2018.09.07 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
128	2018.09.06 00:00	2018.09.06 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
129	2018.09.05 00:00	2018.09.05 23:00	24	9	4	4	6	0.375	0.167	0.167	0.250
130	2018.09.04 00:00	2018.09.04 23:00	24	7	7	6	3	0.292	0.292	0.250	0.125
131	2018.09.03 00:00	2018.09.03 23:00	24	6	7	7	1	0.250	0.292	0.292	0.042
132	2018.08.31 00:00	2018.08.31 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
133	2018.08.30 00:00	2018.08.30 23:00	24	2	6	5	10	0.083	0.250	0.208	0.417
134	2018.08.29 00:00	2018.08.29 23:00	24	11	5	6	1	0.458	0.208	0.250	0.042
