[20190327_172317 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
total bars	58414

[20190327_172317 / views.py:12036]
[20190327_172317 / views.py:11765]==============================
average	0.084
max	0.626
min	-0.114
variance	0.0052895
std	0.07273
median	0.067

[20190327_172317 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
395	2018.08.16 08:35	0.109	53.45
396	2018.08.16 08:40	0.058	46.43
397	2018.08.16 18:55	0.084	50.01
398	2018.08.16 19:00	0.144	58.26
399	2018.08.16 23:10	0.028	42.31
400	2018.08.17 02:30	0.031	42.72
401	2018.08.17 02:35	0.024	41.76
402	2018.08.17 02:40	0.029	42.45
403	2018.08.17 11:05	0.260	74.21
404	2018.08.17 21:00	0.211	67.47
405	2018.08.17 21:05	0.124	55.51
406	2018.08.17 21:10	0.069	47.95
407	2018.08.17 21:25	0.195	65.27
408	2018.08.17 21:30	0.168	61.56
409	2018.08.17 21:35	0.090	50.83
410	2018.08.20 19:20	0.068	47.81
411	2018.08.20 23:00	0.081	49.60
412	2018.08.21 03:30	0.310	81.08
413	2018.08.21 05:45	0.050	45.33
414	2018.08.21 06:40	0.082	49.73
415	2018.08.21 06:45	0.070	48.08
416	2018.08.21 06:50	0.044	44.51
417	2018.08.21 06:55	0.007	39.42
418	2018.08.21 08:20	0.136	57.16
419	2018.08.21 11:35	0.101	52.35
420	2018.08.21 11:40	0.093	51.25
421	2018.08.21 11:45	0.067	47.67
422	2018.08.21 16:25	0.125	55.65
423	2018.08.21 16:45	0.170	61.83
424	2018.08.21 16:50	0.126	55.78
425	2018.08.21 18:45	0.094	51.38
426	2018.08.21 19:55	0.255	73.52
427	2018.08.22 04:00	0.058	46.43
428	2018.08.22 04:05	0.013	40.25
429	2018.08.22 05:10	0.119	54.82
430	2018.08.22 05:15	0.076	48.91
431	2018.08.22 11:55	0.101	52.35
432	2018.08.22 13:50	0.066	47.53
433	2018.08.22 13:55	0.097	51.80
434	2018.08.22 15:55	0.093	51.25
435	2018.08.22 18:10	0.064	47.26
436	2018.08.22 18:15	0.061	46.85
437	2018.08.23 08:05	0.092	51.11
438	2018.08.23 08:20	0.076	48.91
439	2018.08.23 13:45	0.202	66.23
440	2018.08.23 16:40	0.097	51.80
441	2018.08.23 16:45	0.205	66.65
442	2018.08.23 17:00	0.054	45.88
443	2018.08.23 22:50	0.061	46.85
444	2018.08.24 02:35	0.023	41.62
445	2018.08.24 02:40	0.017	40.80
446	2018.08.24 06:50	0.049	45.20
447	2018.08.24 08:00	0.032	42.86
448	2018.08.24 08:05	0.006	39.28
449	2018.08.24 14:35	0.079	49.32
450	2018.08.24 16:05	0.107	53.17
451	2018.08.27 02:00	0.054	45.88
452	2018.08.27 02:30	0.061	46.85
453	2018.08.27 02:35	0.030	42.58
454	2018.08.27 02:40	0.036	43.41
455	2018.08.27 02:45	0.074	48.63
456	2018.08.27 02:50	0.075	48.77
457	2018.08.27 15:10	0.061	46.85
458	2018.08.27 16:45	0.068	47.81
459	2018.08.27 17:05	0.052	45.61
460	2018.08.27 17:55	0.131	56.47
461	2018.08.27 18:00	0.025	41.90
462	2018.08.28 02:00	0.091	50.97
463	2018.08.28 02:05	0.028	42.31
464	2018.08.28 03:35	0.085	50.15
465	2018.08.28 05:50	0.039	43.82
466	2018.08.28 09:45	0.113	54.00
467	2018.08.28 09:50	0.036	43.41
468	2018.08.28 13:15	0.034	43.13
469	2018.08.28 14:45	0.087	50.42
470	2018.08.28 16:00	0.086	50.28
471	2018.08.29 05:15	0.074	48.63
472	2018.08.29 05:20	0.120	54.96
473	2018.08.29 15:50	0.074	48.63
474	2018.08.29 15:55	0.016	40.66
475	2018.08.29 16:00	0.081	49.60
476	2018.08.29 16:05	0.140	57.71
477	2018.08.29 17:05	0.202	66.23
478	2018.08.29 17:10	0.131	56.47
479	2018.08.29 17:15	0.048	45.06
480	2018.08.29 22:00	0.048	45.06
481	2018.08.29 22:05	0.026	42.03
482	2018.08.30 00:50	0.031	42.72
483	2018.08.30 09:50	0.024	41.76
484	2018.08.30 13:30	0.153	59.50
485	2018.08.30 20:55	0.102	52.48
486	2018.08.31 07:55	0.252	73.11
487	2018.08.31 21:45	0.057	46.30
488	2018.08.31 22:35	0.095	51.52
489	2018.08.31 22:40	0.070	48.08
490	2018.09.03 08:00	0.058	46.43
491	2018.09.03 08:05	0.052	45.61
492	2018.09.03 11:05	0.101	52.35
493	2018.09.03 17:30	0.108	53.31
494	2018.09.04 09:00	0.089	50.70
495	2018.09.04 22:55	0.083	49.87
496	2018.09.05 03:55	0.253	73.25
497	2018.09.05 04:15	0.088	50.56
498	2018.09.05 13:40	0.122	55.23
499	2018.09.05 13:45	0.075	48.77
500	2018.09.05 16:05	0.506	108.03
501	2018.09.05 16:10	0.357	87.55
502	2018.09.05 23:00	0.023	41.62
503	2018.09.06 15:05	0.111	53.72
504	2018.09.06 15:10	0.096	51.66
505	2018.09.06 21:10	0.075	48.77
506	2018.09.07 04:20	0.151	59.22
507	2018.09.07 12:10	0.127	55.92
508	2018.09.07 17:05	0.087	50.42
509	2018.09.10 01:15	0.070	48.08
510	2018.10.01 02:10	0.055	46.02
511	2018.10.01 02:15	0.054	45.88
512	2018.10.01 02:20	0.040	43.96
513	2018.10.01 02:25	0.041	44.10
514	2018.10.01 07:55	0.046	44.78
515	2018.10.01 10:40	0.152	59.36
516	2018.10.01 10:45	0.051	45.47
517	2018.10.01 10:50	0.039	43.82
518	2018.10.01 10:55	0.040	43.96
519	2018.10.01 12:35	0.084	50.01
520	2018.10.01 12:50	0.061	46.85
521	2018.10.01 12:55	0.008	39.56
522	2018.10.02 14:00	0.138	57.43
523	2018.10.02 14:05	0.125	55.65
524	2018.10.02 15:05	0.105	52.90
525	2018.10.03 04:55	0.520	109.96
526	2018.10.03 05:00	0.178	62.93
527	2018.10.03 05:05	0.125	55.65
528	2018.10.03 17:00	0.237	71.05
529	2018.10.04 21:50	0.041	44.10
530	2018.10.04 23:20	0.031	42.72
531	2018.10.05 03:05	0.136	57.16
532	2018.10.05 12:55	0.103	52.62
533	2018.10.05 14:40	0.058	46.43
534	2018.10.05 15:50	0.055	46.02
535	2018.10.05 20:40	0.139	57.57
536	2018.10.05 20:45	0.103	52.62
537	2018.10.05 20:50	0.019	41.07
538	2018.10.05 20:55	0.039	43.82
539	2018.10.08 03:00	0.044	44.51
540	2018.10.08 21:20	0.096	51.66
541	2018.10.08 21:25	0.006	39.28
542	2018.10.08 22:40	0.099	52.07
543	2018.10.09 05:10	0.111	53.72
544	2018.10.09 05:15	0.076	48.91
545	2018.10.09 05:20	0.065	47.40
546	2018.10.09 15:40	0.104	52.76
547	2018.10.09 15:45	0.098	51.93
548	2018.10.09 15:50	0.067	47.67
549	2018.10.09 17:15	0.289	78.20
550	2018.10.09 17:20	0.178	62.93
551	2018.10.09 17:25	0.139	57.57
552	2018.10.09 21:45	0.018	40.93
553	2018.10.10 01:50	0.035	43.27
554	2018.10.10 01:55	0.032	42.86
555	2018.10.10 02:00	0.012	40.11
556	2018.10.10 02:05	0.017	40.80
557	2018.10.10 08:15	0.058	46.43
558	2018.10.10 14:20	0.047	44.92
559	2018.10.10 16:05	0.213	67.75
560	2018.10.11 05:15	0.142	57.98
561	2018.10.11 06:45	0.062	46.98
562	2018.10.11 06:50	0.019	41.07
563	2018.10.12 03:10	0.077	49.05
564	2018.10.12 03:15	0.033	43.00
565	2018.10.12 04:35	0.093	51.25
566	2018.10.12 04:40	0.019	41.07
567	2018.10.12 06:30	0.067	47.67
568	2018.10.12 08:05	0.048	45.06
569	2018.10.12 22:05	0.081	49.60
570	2018.10.12 22:25	0.067	47.67
571	2018.10.15 02:15	0.025	41.90
572	2018.10.15 12:30	0.085	50.15
573	2018.10.15 21:50	0.072	48.36
574	2018.10.16 02:25	0.056	46.16
575	2018.10.16 04:50	0.076	48.91
576	2018.10.16 04:55	0.089	50.70
577	2018.10.16 07:45	0.031	42.72
578	2018.10.16 08:00	0.037	43.55
579	2018.10.16 10:25	0.098	51.93
580	2018.10.16 14:20	0.050	45.33
581	2018.10.16 15:05	0.099	52.07
582	2018.10.16 15:50	0.076	48.91
583	2018.10.16 16:00	0.190	64.58
584	2018.10.16 16:05	0.171	61.97
585	2018.10.17 02:35	0.046	44.78
586	2018.10.17 02:55	0.051	45.47
587	2018.10.17 03:00	0.031	42.72
588	2018.10.17 23:30	0.056	46.16
589	2018.10.17 23:35	0.039	43.82
590	2018.10.18 10:20	0.143	58.12
591	2018.10.18 10:25	0.143	58.12
592	2018.10.18 10:40	0.038	43.68
593	2018.10.19 03:25	0.031	42.72
594	2018.10.19 03:50	0.069	47.95
595	2018.10.19 04:35	0.137	57.30
596	2018.10.19 08:10	0.103	52.62
