[20190327_172320 / views.py:13670]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-6.3-seq].(20190327_172320).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414

[20190327_172320 / views.py:13739]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
176	2018.05.25 17:05	2018.05.25 17:10	2018.05.25 17:15	0.024	0.000	0.093
177	2018.05.25 17:10	2018.05.25 17:15	2018.05.25 17:20	0.000	0.093	0.006
178	2018.05.25 19:45	2018.05.25 19:50	2018.05.25 19:55	0.025	0.038	0.036
179	2018.05.25 19:50	2018.05.25 19:55	2018.05.25 20:00	0.038	0.036	0.104
180	2018.05.25 20:55	2018.05.25 21:00	2018.05.25 21:05	0.007	0.011	0.025
181	2018.05.25 21:20	2018.05.25 21:25	2018.05.25 21:30	0.005	0.006	0.013
182	2018.05.25 22:25	2018.05.25 22:30	2018.05.25 22:35	0.017	0.011	0.023
183	2018.05.25 22:30	2018.05.25 22:35	2018.05.25 22:40	0.011	0.023	0.004
184	2018.05.25 23:15	2018.05.25 23:20	2018.05.25 23:25	0.008	0.016	0.033
185	2018.05.25 23:20	2018.05.25 23:25	2018.05.25 23:30	0.016	0.033	0.016
186	2018.05.28 00:25	2018.05.28 00:30	2018.05.28 00:35	0.102	0.026	0.061
187	2018.05.28 00:30	2018.05.28 00:35	2018.05.28 00:40	0.026	0.061	0.017
188	2018.05.28 00:35	2018.05.28 00:40	2018.05.28 00:45	0.061	0.017	0.013
189	2018.05.28 01:20	2018.05.28 01:25	2018.05.28 01:30	0.014	0.045	0.090
190	2018.05.28 02:35	2018.05.28 02:40	2018.05.28 02:45	0.020	0.002	0.032
191	2018.05.28 02:40	2018.05.28 02:45	2018.05.28 02:50	0.002	0.032	0.005
