[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
183	2018.06.25 00:00	2018.06.25 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
184	2018.06.22 00:00	2018.06.22 23:00	24	10	5	6	2	0.417	0.208	0.250	0.083
185	2018.06.21 00:00	2018.06.21 23:00	24	4	6	5	4	0.167	0.250	0.208	0.167
186	2018.06.20 00:00	2018.06.20 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
187	2018.06.19 00:00	2018.06.19 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
188	2018.06.18 00:00	2018.06.18 23:00	24	2	6	5	8	0.083	0.250	0.208	0.333
189	2018.06.15 00:00	2018.06.15 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
190	2018.06.14 00:00	2018.06.14 23:00	24	3	5	5	10	0.125	0.208	0.208	0.417
191	2018.06.13 00:00	2018.06.13 23:00	24	9	5	5	4	0.375	0.208	0.208	0.167
192	2018.06.12 00:00	2018.06.12 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
193	2018.06.11 00:00	2018.06.11 23:00	24	9	6	6	2	0.375	0.250	0.250	0.083
194	2018.06.08 00:00	2018.06.08 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
195	2018.06.07 00:00	2018.06.07 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
196	2018.06.06 00:00	2018.06.06 23:00	24	6	7	7	3	0.250	0.292	0.292	0.125
197	2018.06.05 00:00	2018.06.05 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
198	2018.06.04 00:00	2018.06.04 23:00	24	10	7	6	0	0.417	0.292	0.250	0.000
199	2018.06.01 00:00	2018.06.01 23:00	24	9	6	6	2	0.375	0.250	0.250	0.083
200	2018.05.31 00:00	2018.05.31 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
201	2018.05.30 00:00	2018.05.30 23:00	24	10	5	5	3	0.417	0.208	0.208	0.125
202	2018.05.29 00:00	2018.05.29 23:00	24	5	5	5	8	0.208	0.208	0.208	0.333
203	2018.05.28 00:00	2018.05.28 23:00	24	7	4	4	8	0.292	0.167	0.167	0.333
204	2018.05.25 00:00	2018.05.25 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
205	2018.05.24 00:00	2018.05.24 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
206	2018.05.23 00:00	2018.05.23 23:00	24	3	6	6	6	0.125	0.250	0.250	0.250
207	2018.05.22 00:00	2018.05.22 23:00	24	4	7	7	5	0.167	0.292	0.292	0.208
208	2018.05.21 00:00	2018.05.21 23:00	24	10	6	6	1	0.417	0.250	0.250	0.042
209	2018.05.18 00:00	2018.05.18 23:00	24	8	6	6	3	0.333	0.250	0.250	0.125
210	2018.05.17 00:00	2018.05.17 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
211	2018.05.16 00:00	2018.05.16 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
212	2018.05.15 00:00	2018.05.15 23:00	24	5	7	6	5	0.208	0.292	0.250	0.208
213	2018.05.14 00:00	2018.05.14 23:00	24	6	7	6	4	0.250	0.292	0.250	0.167
214	2018.05.11 00:00	2018.05.11 23:00	24	5	6	6	5	0.208	0.250	0.250	0.208
215	2018.05.10 00:00	2018.05.10 23:00	24	11	4	4	2	0.458	0.167	0.167	0.083
216	2018.05.09 00:00	2018.05.09 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
217	2018.05.08 00:00	2018.05.08 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
218	2018.05.07 00:00	2018.05.07 23:00	24	2	4	5	12	0.083	0.167	0.208	0.500
219	2018.05.04 00:00	2018.05.04 23:00	24	4	6	6	7	0.167	0.250	0.250	0.292
220	2018.05.03 00:00	2018.05.03 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
221	2018.05.02 00:00	2018.05.02 23:00	24	4	4	4	7	0.167	0.167	0.167	0.292
222	2018.05.01 00:00	2018.05.01 23:00	24	11	3	4	5	0.458	0.125	0.167	0.208
223	2018.04.30 00:00	2018.04.30 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
224	2018.04.27 00:00	2018.04.27 23:00	24	10	4	4	5	0.417	0.167	0.167	0.208
225	2018.04.26 00:00	2018.04.26 23:00	24	4	7	6	6	0.167	0.292	0.250	0.250
226	2018.04.25 00:00	2018.04.25 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
227	2018.04.24 00:00	2018.04.24 23:00	24	5	6	7	5	0.208	0.250	0.292	0.208
228	2018.04.23 00:00	2018.04.23 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
229	2018.04.20 00:00	2018.04.20 23:00	24	2	7	7	6	0.083	0.292	0.292	0.250
230	2018.04.19 00:00	2018.04.19 23:00	24	7	4	3	9	0.292	0.167	0.125	0.375
231	2018.04.18 00:00	2018.04.18 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
232	2018.04.17 00:00	2018.04.17 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
233	2018.04.16 00:00	2018.04.16 23:00	24	4	8	7	4	0.167	0.333	0.292	0.167
234	2018.04.13 00:00	2018.04.13 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
235	2018.04.12 00:00	2018.04.12 23:00	24	8	7	7	1	0.333	0.292	0.292	0.042
236	2018.04.11 00:00	2018.04.11 23:00	24	2	7	6	8	0.083	0.292	0.250	0.333
237	2018.04.10 00:00	2018.04.10 23:00	24	4	9	9	1	0.167	0.375	0.375	0.042
238	2018.04.09 00:00	2018.04.09 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
239	2018.04.06 00:00	2018.04.06 23:00	24	6	6	6	5	0.250	0.250	0.250	0.208
240	2018.04.05 00:00	2018.04.05 23:00	24	6	5	4	8	0.250	0.208	0.167	0.333
241	2018.04.04 00:00	2018.04.04 23:00	24	10	6	5	2	0.417	0.250	0.208	0.083
