Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
798;131.646;131.746;131.625;131.703;55.2706086446;39.0625769674;131.9172503616;131.8135501808;131.70985;131.6061498192;131.5024496384;0.057;0.121;2018.07.18 02:00;2018.07.18 09:00;70
799;131.62;131.675;131.613;131.646;52.4964092196;38.8029440705;131.9162282715;131.8119641357;131.7077;131.6034358643;131.4991717285;0.026;0.062;2018.07.18 01:00;2018.07.18 08:00;71
800;131.577;131.635;131.562;131.622;51.2879240698;36.2569399055;131.9175334506;131.8114917253;131.70545;131.5994082747;131.4933665494;0.045;0.073;2018.07.18 00:00;2018.07.18 07:00;72
801;131.622;131.643;131.59;131.634;51.9152649127;42.2647650046;131.9183255945;131.8113627973;131.7044;131.5974372027;131.4904744055;0.012;0.053;2018.07.17 23:00;2018.07.18 06:00;73
802;131.596;131.641;131.578;131.623;51.3975608757;44.7686544777;131.9188820957;131.8110910479;131.7033;131.5955089521;131.4877179043;0.027;0.063;2018.07.17 22:00;2018.07.18 05:00;74
803;131.595;131.623;131.541;131.597;50.1934540545;44.9921629985;131.9202032022;131.8109016011;131.7016;131.5922983989;131.4829967978;0.002;0.082;2018.07.17 21:00;2018.07.18 04:00;75
804;131.542;131.656;131.526;131.597;50.1934540545;47.4177667031;131.9261881616;131.8119440808;131.6977;131.5834559192;131.4692118384;0.055;0.13;2018.07.17 20:00;2018.07.18 03:00;76
805;131.559;131.634;131.532;131.541;47.6735127678;42.9483341897;131.9374808153;131.8143404077;131.6912;131.5680595923;131.4449191847;-0.018;0.102;2018.07.17 19:00;2018.07.18 02:00;77
806;131.809;131.868;131.561;131.561;48.5061705799;44.2788901285;131.94248423;131.815467115;131.68845;131.561432885;131.43441577;-0.248;0.307;2018.07.17 18:00;2018.07.18 01:00;78
807;131.777;131.982;131.741;131.805;60.8173740046;46.1364464586;131.9474012772;131.8162506386;131.6851;131.5539493614;131.4227987228;0.028;0.241;2018.07.17 17:00;2018.07.18 00:00;79
808;131.773;131.862;131.697;131.774;59.5791346663;42.5008127418;131.9366213035;131.8036856517;131.67075;131.5378143483;131.4048786965;0.001;0.165;2018.07.17 16:00;2018.07.17 23:00;80
809;131.809;131.855;131.718;131.774;59.5791346663;47.4106529927;131.928541955;131.7927459775;131.65695;131.5211540225;131.385358045;-0.035;0.137;2018.07.17 15:00;2018.07.17 22:00;81
810;131.846;131.871;131.718;131.808;61.502986846;49.4676436799;131.9179290977;131.7803895489;131.64285;131.5053104511;131.3677709023;-0.038;0.153;2018.07.17 14:00;2018.07.17 21:00;82
811;131.82;131.866;131.774;131.839;63.272689012;49.4746813596;131.8981456708;131.7628728354;131.6276;131.4923271646;131.3570543292;0.019;0.092;2018.07.17 13:00;2018.07.17 20:00;83
812;131.91;131.928;131.803;131.82;62.6468733208;48.6562196594;131.8677328832;131.7412164416;131.6147;131.4881835584;131.3616671168;-0.09;0.125;2018.07.17 12:00;2018.07.17 19:00;84
813;131.754;131.934;131.735;131.907;67.6621184369;54.5179657961;131.8406117344;131.7230058672;131.6054;131.4877941328;131.3701882656;0.153;0.199;2018.07.17 11:00;2018.07.17 18:00;85
814;131.834;131.849;131.634;131.753;62.6314715705;48.1732514299;131.7787020986;131.6834010493;131.5881;131.4927989507;131.3974979014;-0.081;0.215;2018.07.17 10:00;2018.07.17 17:00;86
815;131.667;131.847;131.622;131.833;67.8396874347;55.1575283582;131.7552732418;131.6677366209;131.5802;131.4926633791;131.4051267582;0.166;0.225;2018.07.17 09:00;2018.07.17 16:00;87
816;131.697;131.724;131.644;131.666;61.4888160093;53.8519397248;131.7038999627;131.6369499813;131.57;131.5030500187;131.4361000373;-0.031;0.08;2018.07.17 08:00;2018.07.17 15:00;88
817;131.666;131.708;131.637;131.694;63.4857061824;59.7097049584;131.6913004251;131.6280752125;131.56485;131.5016247875;131.4383995749;0.028;0.071;2018.07.17 07:00;2018.07.17 14:00;89
818;131.604;131.705;131.593;131.66;62.0645296983;60.9292405577;131.6694869679;131.613618484;131.55775;131.501881516;131.4460130321;0.056;0.112;2018.07.17 06:00;2018.07.17 13:00;90
819;131.599;131.63;131.55;131.601;59.4636104318;62.300739048;131.6532536909;131.6024518454;131.55165;131.5008481546;131.4500463091;0.002;0.08;2018.07.17 05:00;2018.07.17 12:00;91
820;131.611;131.761;131.568;131.601;59.4636104318;61.739603855;131.652921217;131.5983606085;131.5438;131.4892393915;131.434678783;-0.01;0.193;2018.07.17 04:00;2018.07.17 11:00;92
821;131.59;131.707;131.561;131.612;60.1576110619;59.9694933434;131.6466209139;131.5936604569;131.5407;131.4877395431;131.4347790861;0.022;0.146;2018.07.17 03:00;2018.07.17 10:00;93
822;131.519;131.595;131.495;131.589;59.2120285022;57.4975241308;131.6415864955;131.5867932478;131.532;131.4772067522;131.4224135045;0.07;0.1;2018.07.17 02:00;2018.07.17 09:00;94
823;131.473;131.519;131.463;131.519;56.2069703302;54.2205118291;131.6424565865;131.5825782932;131.5227;131.4628217068;131.4029434135;0.046;0.056;2018.07.17 01:00;2018.07.17 08:00;95
824;131.522;131.534;131.442;131.467;53.8051340744;50.9220227612;131.6468280834;131.5820140417;131.5172;131.4523859583;131.3875719166;-0.055;0.092;2018.07.17 00:00;2018.07.17 07:00;96
825;131.493;131.541;131.464;131.486;54.8493339218;56.1507442037;131.6511356158;131.5826178079;131.5141;131.4455821921;131.3770643842;-0.007;0.077;2018.07.16 23:00;2018.07.17 06:00;97
826;131.519;131.57;131.489;131.494;55.2784509647;58.8315216585;131.6536846462;131.5821673231;131.51065;131.4391326769;131.3676153538;-0.025;0.081;2018.07.16 22:00;2018.07.17 05:00;98
827;131.499;131.559;131.487;131.518;56.5391117589;61.6533349298;131.6779395871;131.5885697936;131.4992;131.4098302064;131.3204604129;0.019;0.072;2018.07.16 21:00;2018.07.17 04:00;99
828;131.492;131.564;131.49;131.498;55.740021306;61.6710547709;131.6848861886;131.5869180943;131.48895;131.3909819057;131.2930138114;0.006;0.074;2018.07.16 20:00;2018.07.17 03:00;100
829;131.505;131.537;131.402;131.492;55.5068714518;59.0766063653;131.7039345041;131.589392252;131.47485;131.360307748;131.2457654959;-0.013;0.135;2018.07.16 19:00;2018.07.17 02:00;101
830;131.582;131.613;131.455;131.503;56.0208424614;61.9767689617;131.7055136625;131.5856568313;131.4658;131.3459431687;131.2260863375;-0.079;0.158;2018.07.16 18:00;2018.07.17 01:00;102
831;131.633;131.652;131.501;131.581;59.7476615264;67.6306853328;131.7123179197;131.5821839598;131.45205;131.3219160402;131.1917820803;-0.052;0.151;2018.07.16 17:00;2018.07.17 00:00;103
