[libfx_5.py:464 / 20190731_162632]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:584 / 20190731_162632] cntOf_SLs	\280 (0.805)
cntOf_TPs	\68 (0.195)

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit
318	923	79.300	923	79.300	79.347	79.257	STATUS_POS_EXIT__SL
319	924	79.347	925	79.348	79.352	79.314	STATUS_POS_EXIT__SL
320	927	79.332	927	79.321	79.384	79.321	STATUS_POS_EXIT__TP
321	929	79.378	929	79.362	79.363	79.328	STATUS_POS_EXIT__SL
322	931	79.352	931	79.327	79.330	79.289	STATUS_POS_EXIT__SL
323	933	79.315	948	79.437	79.415	79.353	STATUS_POS_EXIT__SL
324	950	79.354	954	79.369	79.374	79.305	STATUS_POS_EXIT__SL
325	956	79.334	958	79.358	79.373	79.324	STATUS_POS_EXIT__SL
326	960	79.341	960	79.340	79.347	79.298	STATUS_POS_EXIT__SL
327	962	79.309	962	79.309	79.314	79.243	STATUS_POS_EXIT__SL
328	963	79.274	964	79.306	79.332	79.270	STATUS_POS_EXIT__SL
329	966	79.296	966	79.296	79.357	79.259	STATUS_POS_EXIT__TP
330	967	79.256	967	79.256	79.256	78.704	STATUS_POS_EXIT__SL
331	968	78.808	968	78.808	78.808	78.683	STATUS_POS_EXIT__SL
332	969	78.749	969	78.749	78.750	78.598	STATUS_POS_EXIT__SL
333	970	78.644	970	78.644	78.710	78.606	STATUS_POS_EXIT__TP
334	971	78.689	971	78.691	78.707	78.642	STATUS_POS_EXIT__SL
335	973	78.694	973	78.694	78.694	78.610	STATUS_POS_EXIT__SL
336	974	78.666	974	78.666	78.666	78.606	STATUS_POS_EXIT__SL
337	975	78.644	975	78.644	78.650	78.584	STATUS_POS_EXIT__SL
338	976	78.586	976	78.586	78.606	78.495	STATUS_POS_EXIT__SL
339	977	78.503	977	78.503	78.565	78.499	STATUS_POS_EXIT__TP
