[20190325_180708 / views.py:13410]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190325_180701).(USDJPY-M5).[sec-1.A-6.3-seq].(20190325_180708).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180709 / views.py:13479]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
132	2018.06.25 12:40	2018.06.25 12:45	2018.06.25 12:50	0.003	0.000	0.018
133	2018.06.25 17:10	2018.06.25 17:15	2018.06.25 17:20	0.022	0.009	0.053
134	2018.06.25 17:15	2018.06.25 17:20	2018.06.25 17:25	0.009	0.053	0.059
135	2018.06.25 17:35	2018.06.25 17:40	2018.06.25 17:45	0.011	0.050	0.001
136	2018.06.25 18:35	2018.06.25 18:40	2018.06.25 18:45	0.011	0.067	0.031
137	2018.06.25 20:20	2018.06.25 20:25	2018.06.25 20:30	0.000	0.022	0.026
138	2018.06.25 20:25	2018.06.25 20:30	2018.06.25 20:35	0.022	0.026	0.012
139	2018.06.25 20:30	2018.06.25 20:35	2018.06.25 20:40	0.026	0.012	0.008
140	2018.06.25 21:50	2018.06.25 21:55	2018.06.25 22:00	0.014	0.021	0.013
141	2018.06.25 21:55	2018.06.25 22:00	2018.06.25 22:05	0.021	0.013	0.020
142	2018.06.26 06:15	2018.06.26 06:20	2018.06.26 06:25	0.012	0.015	0.004
143	2018.06.26 06:20	2018.06.26 06:25	2018.06.26 06:30	0.015	0.004	0.027
144	2018.06.26 06:40	2018.06.26 06:45	2018.06.26 06:50	0.005	0.032	0.001
145	2018.06.26 07:35	2018.06.26 07:40	2018.06.26 07:45	0.002	0.016	0.008
146	2018.06.26 07:40	2018.06.26 07:45	2018.06.26 07:50	0.016	0.008	0.012
147	2018.06.26 08:00	2018.06.26 08:05	2018.06.26 08:10	0.008	0.048	0.043
148	2018.06.26 08:05	2018.06.26 08:10	2018.06.26 08:15	0.048	0.043	0.002
149	2018.06.26 08:10	2018.06.26 08:15	2018.06.26 08:20	0.043	0.002	0.008
150	2018.06.26 08:30	2018.06.26 08:35	2018.06.26 08:40	0.004	0.015	0.033
151	2018.06.26 09:10	2018.06.26 09:15	2018.06.26 09:20	0.043	0.023	0.003
152	2018.06.26 09:35	2018.06.26 09:40	2018.06.26 09:45	0.013	0.011	0.023
153	2018.06.26 09:40	2018.06.26 09:45	2018.06.26 09:50	0.011	0.023	0.033
154	2018.06.26 10:20	2018.06.26 10:25	2018.06.26 10:30	0.016	0.018	0.036
155	2018.06.26 12:10	2018.06.26 12:15	2018.06.26 12:20	0.019	0.007	0.096
156	2018.06.26 12:45	2018.06.26 12:50	2018.06.26 12:55	0.012	0.005	0.012
157	2018.06.26 13:35	2018.06.26 13:40	2018.06.26 13:45	0.022	0.007	0.015
158	2018.06.26 13:40	2018.06.26 13:45	2018.06.26 13:50	0.007	0.015	0.016
159	2018.06.26 13:45	2018.06.26 13:50	2018.06.26 13:55	0.015	0.016	0.015
160	2018.06.26 15:35	2018.06.26 15:40	2018.06.26 15:45	0.057	0.005	0.014
161	2018.06.26 17:10	2018.06.26 17:15	2018.06.26 17:20	0.069	0.068	0.046
162	2018.06.26 18:50	2018.06.26 18:55	2018.06.26 19:00	0.022	0.000	0.005
163	2018.06.26 18:55	2018.06.26 19:00	2018.06.26 19:05	0.000	0.005	0.028
164	2018.06.26 19:00	2018.06.26 19:05	2018.06.26 19:10	0.005	0.028	0.045
